name	nr	pop	pop2	popcol	filter	prop_miss	n_retained_sites	hetero_retained_sites	hetero_segregating_sites
14HEUT4_4836	213	HE4	HE4	deepskyblue	TRUE	0.0253592561284869	2851	0.259908803928446	0.310171619924655
14HEUT4_4837	214	HE4	HE4	deepskyblue	TRUE	0.023105100028177	2857	0.121106055302765	0.144588382783117
14HEUT4_4838	215	HE4	HE4	deepskyblue	TRUE	0.0338123415046492	2825	0.201769911504425	0.241116751269036
14HEUT4_4839	216	HE4	HE4	deepskyblue	TRUE	0.217244294167371	2288	0.145541958041958	0.174803149606299
14HEUT4_4840	217	HE4	HE4	deepskyblue	TRUE	0.0194420963651733	2857	0.209310465523276	0.25
14HEUT4_4841	218	HE4	HE4	deepskyblue	TRUE	0.0239504085657932	2847	0.144011239901651	0.172052035249685
14HEUT4_4842	219	HE4	HE4	deepskyblue	TRUE	0.0388841927303466	2820	0.24645390070922	0.294117647058824
14HEUT4_4843	220	HE4	HE4	deepskyblue	TRUE	0.040574809805579	2803	0.236532286835533	0.283818493150685
14HEUT4_4844	221	HE4	HE4	deepskyblue	TRUE	0.0245139475908707	2842	0.168543279380718	0.201599326599327
14HEUT4_4845	222	HE4	HE4	deepskyblue	FALSE	0.333896872358411	1908	0.177148846960168	0.213062777425491
14HEUT4_4846	223	HE4	HE4	deepskyblue	TRUE	0.0386024232178078	2821	0.238213399503722	0.284504657070279
14HEUT4_4847	224	HE4	HE4	deepskyblue	TRUE	0.0574809805579036	2740	0.228467153284672	0.274080560420315
14HEUT4_4848	225	HE4	HE4	deepskyblue	TRUE	0.00760777683854607	2894	0.123358673116793	0.146974063400576
14HEUT4_4849	226	HE4	HE4	deepskyblue	TRUE	0.0180332488024796	2875	0.218782608695652	0.261104192611042
14HEUT4_4850	227	HE4	HE4	deepskyblue	TRUE	0.0149337841645534	2872	0.160863509749304	0.192259675405743
14HEUT4_4851	228	HE4	HE4	deepskyblue	TRUE	0.0374753451676529	2815	0.270692717584369	0.323566878980892
14HEUT4_4852	229	HE4	HE4	deepskyblue	TRUE	0.0064806987883911	2900	0.172758620689655	0.206088029617441
14HEUT4_4853	230	HE4	HE4	deepskyblue	TRUE	0.072414764722457	2701	0.235838578304332	0.282233052724856
14HEUT4_4854	231	HE4	HE4	deepskyblue	TRUE	0.0169061707523246	2867	0.241018486222532	0.287437603993344
14HEUT4_4856	232	HE4	HE4	deepskyblue	TRUE	0.0304311073541843	2831	0.282232426704345	0.336988612399831
14HEUT4_4857	233	HE4	HE4	deepskyblue	TRUE	0.012116089039166	2890	0.247750865051903	0.29574555968608
14HEUT4_4859	234	HE4	HE4	deepskyblue	TRUE	0.0898844744998591	2661	0.254415633220594	0.303723642889188
14HEUT4_4860	235	HE4	HE4	deepskyblue	TRUE	0.154409692871231	2463	0.178643930166464	0.215475024485798
14HEUT4_4861	236	HE4	HE4	deepskyblue	TRUE	0.0146520146520147	2872	0.225626740947075	0.26955074875208
14HEUT4_4862	237	HE4	HE4	deepskyblue	TRUE	0.0484643561566638	2786	0.230796841349605	0.276202749140893
